  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)412                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.012     Re =     0.010 e 6     Ncrit =   1.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.3857   0.09943   0.08261  -0.0515   1.0000   0.0419
  -8.000  -0.4233   0.08693   0.07048  -0.0510   1.0000   0.0422
  -7.000  -0.4349   0.07461   0.05745  -0.0503   0.9759   0.0429
  -6.000  -0.3989   0.06392   0.04508  -0.0493   0.9369   0.0449
  -5.000  -0.3394   0.05656   0.03632  -0.0469   0.9032   0.0643
  -4.000  -0.2948   0.04975   0.02857  -0.0399   0.8728   0.1160
  -3.000  -0.2178   0.04699   0.02770  -0.0284   0.8461   0.7364
  -2.000  -0.1496   0.04583   0.02443  -0.0245   0.8173   0.7835
  -1.000  -0.0730   0.04530   0.02236  -0.0224   0.7919   0.8270
   0.000   0.0030   0.04527   0.02136  -0.0204   0.7631   0.8749
   1.000   0.0843   0.04584   0.02132  -0.0199   0.7431   0.9314
   2.000   0.1553   0.04662   0.02185  -0.0179   0.7114   1.0000
   3.000   0.2129   0.04830   0.02341  -0.0136   0.6918   1.0000
   4.000   0.2741   0.05034   0.02547  -0.0099   0.6581   1.0000
   5.000   0.3328   0.05315   0.02863  -0.0067   0.6290   1.0000
   6.000   0.3983   0.05647   0.03269  -0.0046   0.5932   1.0000
   7.000   0.4534   0.06037   0.03765  -0.0020   0.5427   1.0000
   8.000   0.4997   0.06518   0.04384   0.0005   0.4754   1.0000
   9.000   0.5506   0.07065   0.05100   0.0025   0.3724   1.0000
  10.000   0.6349   0.07416   0.05604   0.0110   0.0978   1.0000
