  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)412                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.4214   0.11313   0.09719  -0.0430   1.0000   0.1993
  -8.000  -0.4520   0.10045   0.08513  -0.0413   1.0000   0.1979
  -7.000  -0.4867   0.08782   0.07276  -0.0382   1.0000   0.1965
  -6.000  -0.5091   0.07537   0.05979  -0.0344   1.0000   0.1977
  -5.000  -0.4897   0.06347   0.04684  -0.0304   1.0000   0.2080
  -4.000  -0.4437   0.05424   0.03692  -0.0246   1.0000   0.2586
  -3.000  -0.1431   0.04949   0.03011  -0.0350   1.0000   1.0000
  -2.000  -0.1379   0.04804   0.02746  -0.0250   1.0000   1.0000
  -1.000  -0.1304   0.04687   0.02528  -0.0147   1.0000   1.0000
   0.000  -0.1168   0.04604   0.02352  -0.0048   1.0000   1.0000
   1.000  -0.0905   0.04587   0.02248   0.0032   1.0000   1.0000
   2.000  -0.0484   0.04663   0.02252   0.0086   1.0000   1.0000
   3.000   0.0028   0.04824   0.02371   0.0122   1.0000   1.0000
   4.000   0.0574   0.05061   0.02599   0.0146   1.0000   1.0000
   5.000   0.1121   0.05374   0.02917   0.0162   1.0000   1.0000
   6.000   0.1647   0.05771   0.03345   0.0169   1.0000   1.0000
   7.000   0.2136   0.06268   0.03902   0.0168   1.0000   1.0000
   8.000   0.3028   0.07331   0.05088   0.0066   0.9547   1.0000
   9.000   0.4143   0.08650   0.06591  -0.0075   0.8328   1.0000
  10.000   0.5709   0.09962   0.08181  -0.0161   0.5409   1.0000
