  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)412                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.012     Re =     0.010 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.4213   0.11314   0.09720  -0.0430   1.0000   0.1993
  -8.000  -0.4519   0.10046   0.08514  -0.0413   1.0000   0.1979
  -7.000  -0.4866   0.08783   0.07277  -0.0382   1.0000   0.1965
  -6.000  -0.5091   0.07538   0.05980  -0.0344   1.0000   0.1977
  -5.000  -0.4897   0.06348   0.04685  -0.0304   1.0000   0.2079
  -4.000  -0.4438   0.05425   0.03693  -0.0246   1.0000   0.2585
  -3.000  -0.1431   0.04949   0.03011  -0.0350   1.0000   1.0000
  -2.000  -0.1379   0.04805   0.02746  -0.0250   1.0000   1.0000
  -1.000  -0.1304   0.04688   0.02528  -0.0147   1.0000   1.0000
   0.000  -0.1168   0.04604   0.02353  -0.0048   1.0000   1.0000
   1.000  -0.0905   0.04587   0.02248   0.0032   1.0000   1.0000
   2.000  -0.0484   0.04664   0.02252   0.0086   1.0000   1.0000
   3.000   0.0028   0.04824   0.02371   0.0122   1.0000   1.0000
   4.000   0.0574   0.05062   0.02600   0.0146   1.0000   1.0000
   5.000   0.1121   0.05374   0.02917   0.0162   1.0000   1.0000
   6.000   0.1647   0.05772   0.03346   0.0169   1.0000   1.0000
   7.000   0.2136   0.06268   0.03902   0.0168   1.0000   1.0000
   8.000   0.3028   0.07333   0.05090   0.0066   0.9547   1.0000
   9.000   0.4144   0.08650   0.06592  -0.0075   0.8328   1.0000
